sample,patient,project,FAP13,matrix4,fib5,SenMayo,Troph_MMPplus,Troph_MMPminus,Telocyte_CAF
TCGA-AD-6963-01,TCGA-AD-6963,TCGA-COAD,-0.7113704993117372,-0.788585448483891,-0.434173935417542,0.07843796900386776,-0.2848771427462877,-0.5100061428660734,-0.39907948174047536
TCGA-AD-6964-01,TCGA-AD-6964,TCGA-COAD,0.8672793029200078,1.1799495531980715,1.0680576311486927,0.3248248862721742,0.6644013425753738,0.916549783708932,0.28700712962386854
TCGA-AD-6965-01,TCGA-AD-6965,TCGA-COAD,-0.16735660770311106,-0.15974466918685237,0.015790714001601185,-0.36915559152036964,-0.13408184579790822,-0.09090212366865853,0.1440303672964767
TCGA-AD-A5EJ-01,TCGA-AD-A5EJ,TCGA-COAD,0.0023821525357261117,0.3034119901888808,-0.5569277157996652,0.024613930761525564,-0.00784142273334615,-0.14361422760782666,-0.35291843607246964
TCGA-AD-A5EK-01,TCGA-AD-A5EK,TCGA-COAD,-0.2702720922829121,-0.22301091826361583,-0.10260617911289491,-0.4138422657460321,-0.24942144619303042,-0.28755219532116477,0.08706345689077144
TCGA-AM-5820-01,TCGA-AM-5820,TCGA-COAD,-0.15837449271975337,0.0238979245547954,-0.4701146758760838,-0.2516211586595167,-0.361675163013563,-0.24381404187650035,-0.5552329493361768
TCGA-AM-5821-01,TCGA-AM-5821,TCGA-COAD,0.18955754280049633,0.5659337914781141,-0.16267462741600186,0.5765821252991362,0.49800627717153517,-0.10857888013643517,-0.1371112654927858
TCGA-AU-3779-01,TCGA-AU-3779,TCGA-COAD,0.4661273303090049,0.45714731752894633,0.6592801998201581,0.3788864323049003,0.48651945453656853,0.36757849125558134,0.6023056630475472
TCGA-AU-6004-01,TCGA-AU-6004,TCGA-COAD,0.6776343626810206,0.7637625120840087,0.5736274384912363,0.3956196124961682,0.4734662096259397,0.3792350275367719,0.08017410357517833
TCGA-AY-5543-01,TCGA-AY-5543,TCGA-COAD,-0.8755852949436349,-1.3554470595466321,-0.8446755240007985,-0.03239843074094641,-0.5607287755841008,-0.9535264371008144,-0.3880969025542575
TCGA-AY-6196-01,TCGA-AY-6196,TCGA-COAD,1.4522949098837794,1.5084381948894556,1.9444267520807201,0.6608751175835049,1.1222189393829614,1.4753657171779078,0.6611841102156101
TCGA-AY-6197-01,TCGA-AY-6197,TCGA-COAD,-0.5705497395514788,-0.5890231454567798,-0.4463628424805751,0.3679154028141487,-0.5971806022224955,-0.7640053983738511,-0.3257272666454491
TCGA-AY-6386-01,TCGA-AY-6386,TCGA-COAD,-0.5571913147516117,-0.37383646318341945,-0.5377793259763919,-0.050283399373144605,-0.45220621525681876,-0.5765355574018345,-0.2677173707861074
TCGA-AY-A54L-01,TCGA-AY-A54L,TCGA-COAD,-1.7485295245534,-1.9098604987732464,-1.74788379831895,-0.3943271326772081,-1.1624726153735832,-1.3048938843255609,-0.707031778149989
TCGA-AY-A69D-01,TCGA-AY-A69D,TCGA-COAD,-0.18522995921133242,0.19182712485497386,-0.33906294467734394,-0.1375508915843472,-0.3575202346107898,-0.33505794071529976,-0.013583150740774607
